PRJEB26832,29069476
PRJEB5729,NaN
PRJEB22554,NaN
PRJEB67738,31696235
PRJEB22359,NaN
PRJEB27122,29069476
PRJEB24849,29069476
PRJEB25962,29069476
PRJEB6705,NaN
PRJEB26924,29069476
PRJEB26925,29069476
PRJNA318004,NaN
PRJNA307231,NaN
PRJEB26165,29069476
PRJEB67980,31696235
PRJEB6518,NaN
PRJEB11846,NaN
PRJNA326143,NaN
PRJNA787810,NaN
PRJEB57228,NaN
PRJNA774891,NaN
PRJEB52848,NaN
PRJNA752174,NaN
PRJEB6070,NaN
PRJNA289586,27723761	30747106	34083435
PRJNA982880,NaN
PRJNA811494,NaN
PRJNA859507,NaN
PRJNA805069,NaN
PRJNA782662,NaN
PRJNA736821,NaN
PRJNA668745,NaN
PRJNA669372,NaN
PRJNA665109,NaN
PRJNA561567,10.1158/0008-5472.CAN-18-4108
PRJNA606061,NaN
PRJNA781978,NaN
PRJNA633107,NaN
PRJEB35687,NaN
PRJNA202975,NaN
PRJEB39062,NaN
PRJEB53018,NaN
PRJEB10296,NaN
PRJNA398089,35614211
PRJEB55708,29069476
PRJEB55607,NaN
PRJEB42045,NaN
PRJEB29239,NaN
PRJNA703303,33833065
PRJNA747262,NaN
PRJDB12349,NaN
PRJEB51828,29069476
PRJEB43961,29069476
PRJNA795857,NaN
PRJNA390646,NaN
PRJEB6702,NaN
PRJNA301903,27572443
PRJEB41655,29069476
PRJEB22368,NaN
PRJEB8347,NaN
PRJEB1690,NaN
PRJEB44032,29069476
PRJEB43974,29069476
PRJNA510036,NaN
PRJEB43973,29069476
PRJNA385949,NaN
PRJEB45311,29069476
PRJNA648297,NaN
PRJEB43818,29069476
PRJNA508395,32042169
PRJNA510730,NaN
PRJDB5860,NaN
PRJEB42466,NaN
PRJEB42213,29069476
PRJEB41785,29069476
PRJNA628604,32511695
PRJEB41181,29069476
PRJEB39906,29069476
PRJEB30615,NaN
PRJEB39250,29618989
PRJNA177883,NaN
PRJNA428736,NaN
PRJNA417357,NaN
PRJNA232731,25101067
PRJNA352060,NaN
PRJEB35170,29069476
PRJEB20800,NaN
PRJEB31434,NaN
PRJNA385126,NaN
PRJEB31446,29069476
PRJEB33242,29069476
PRJEB9524,NaN
PRJEB26164,29069476
PRJEB33766,29069476
PRJNA485056,30661755	34083435
PRJEB33329,29069476
PRJEB9818,26351661
PRJEB31588,29069476
PRJEB31850,29069476
PRJEB31778,29069476
PRJEB26926,29069476
PRJEB33719,29069476
PRJNA300541,27172044	34083435
PRJNA231909,30710083
PRJEB9576,NaN
PRJEB12124,NaN
PRJEB26908,29069476
PRJEB22365,NaN
PRJEB22362,NaN
PRJNA215106,24236055
PRJNA363080,NaN
PRJEB22519,NaN
PRJNA268964,27172044	34083435
PRJEB22538,NaN
PRJEB24534,29069476
PRJEB26491,29069476
PRJNA321058,NaN
PRJNA273761,NaN
PRJEB15111,26932197
