PRJDB2036,NaN
PRJDB4998,27894251
PRJEB10326,28634574
PRJEB10865,NaN
PRJEB11199,NaN
PRJEB11554,NaN
PRJEB11697,27279225
PRJEB12057,NaN
PRJEB12123,NaN
PRJEB1220,24997787
PRJEB12357,27126044	22728514
PRJEB12431,27822556
PRJEB12669,27583441
PRJEB13092,NaN
PRJEB13747,NaN
PRJEB13870,34083435
PRJEB14084,NaN
PRJEB1421,NaN
PRJEB14839,NaN
PRJEB14935,NaN
PRJEB15257,NaN
PRJEB16762,NaN
PRJEB1775,23571589
PRJEB17754,NaN
PRJEB17783,NaN
PRJEB17784,NaN
PRJEB1781,NaN
PRJEB1786,34083435
PRJEB17882,NaN
PRJEB17980,NaN
PRJEB18265,NaN
PRJEB19090,27671352
PRJEB19103,NaN
PRJEB19367,NaN
PRJEB19677,28149696
PRJEB19825,NaN
PRJEB19895,NaN
PRJEB20007,NaN
PRJEB20022,NaN
PRJEB20227,NaN
PRJEB20475,NaN
PRJEB2054,NaN
PRJEB20721,NaN
PRJEB21196,NaN
PRJEB21490,NaN
PRJEB21696,NaN
PRJEB21933,NaN
PRJEB21999,28892494
PRJEB22036,NaN
PRJEB22392,NaN
PRJEB22395,NaN
PRJEB22492,NaN
PRJEB22505,NaN
PRJEB22529,NaN
PRJEB22542,NaN
PRJEB22547,NaN
PRJEB22549,NaN
PRJEB22552,NaN
PRJEB22832,NaN
PRJEB23207,NaN
PRJEB23489,NaN
PRJEB23524,NaN
PRJEB24076,NaN
PRJEB24355,NaN
PRJEB24411,31554833
PRJEB24421,NaN
PRJEB24453,NaN
PRJEB24497,NaN
PRJEB24522,NaN
PRJEB24527,29069476
PRJEB24528,29069476
PRJEB24529,29069476
PRJEB24748,29069476
PRJEB24766,29069476
PRJEB24775,29069476
PRJEB24777,29069476
PRJEB24778,29069476
PRJEB24779,29069476
PRJEB24791,29069476
PRJEB24818,29069476
PRJEB24843,30714464
PRJEB24848,29069476
PRJEB25190,29069476
PRJEB25191,29069476
PRJEB25192,29069476
PRJEB25193,29069476
PRJEB25642,NaN
PRJEB26097,29069476
PRJEB26162,29069476
PRJEB26277,29069476
PRJEB26280,29069476
PRJEB26490,29069476
PRJEB26833,29069476
PRJEB27307,31356917
PRJEB27564,31221587
PRJEB2778,NaN
PRJEB28237,NaN
PRJEB28700,NaN
PRJEB28701,NaN
PRJEB29454,NaN
PRJEB30401,NaN
PRJEB3085,23236009
PRJEB3148,NaN
PRJEB3206,23760301
PRJEB3227,NaN
PRJEB33269,29069476
PRJEB34871,NaN
PRJEB35214,NaN
PRJEB4927,25476529
PRJEB5431,NaN
PRJEB5482,NaN
PRJEB5761,NaN
PRJEB5771,NaN
PRJEB6358,NaN
PRJEB6542,NaN
PRJEB7331,NaN
PRJEB7507,NaN
PRJEB7637,NaN
PRJEB7899,NaN
PRJEB7949,NaN
PRJEB8022,NaN
PRJEB8094,26359913
PRJEB8201,NaN
PRJEB9150,NaN
PRJEB9205,NaN
PRJNA167398,NaN
PRJNA234437,NaN
PRJNA240307,NaN
PRJNA244913,NaN
PRJNA258387,NaN
PRJNA263853,NaN
PRJNA276631,NaN
PRJNA283106,NaN
PRJNA290926,NaN
PRJNA298590,NaN
PRJNA298960,NaN
PRJNA302437,NaN
PRJNA305094,NaN
PRJNA306016,10.1016/j.foodres.2019.02.004
PRJNA306615,NaN
PRJNA306884,NaN
PRJNA311224,10.1186/s40168-018-0549-6	10.1128/mbio.01586-19	10.1038/ajg.2017.6	10.1080/19490976.2017.1299310	10.1038/s41598-021-84152-6
PRJNA317493,NaN
PRJNA318788,27025251
PRJNA32089,19043404
PRJNA321051,NaN
PRJNA323360,NaN
PRJNA324825,NaN
PRJNA354235,34083435
PRJNA389280,NaN
PRJNA394849,NaN
PRJNA396275,10.1080/20002297.2018.1487741
PRJNA396815,NaN
PRJNA407815,NaN
PRJNA414072,NaN
PRJNA418765,NaN
PRJNA419097,NaN
PRJNA43253,20363958
PRJNA436359,NaN
PRJNA46321,NaN
PRJNA471742,NaN
PRJNA480312,NaN
PRJNA485316,NaN
PRJNA486437,NaN
PRJNA510835,NaN
PRJNA516932,NaN
PRJNA60717,21191099
