attributes.authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,attributes.doi                    ,attributes.isbn                  ,attributes.iso-journal                  ,attributes.issue ,attributes.medline-journal ,attributes.pub-abstract ,attributes.pub-title                                                                                                                                                                                                           ,attributes.pub-type                                                                                                                                                      ,attributes.pub-url                                                         ,attributes.published-year ,attributes.pubmed-central-id ,attributes.pubmed-id ,attributes.raw-pages ,attributes.samples-count ,attributes.studies-count ,attributes.volume                                      ,id       ,links.self                                                      ,relationships.samples.links.related                                     ,relationships.studies.links.related                                     ,type
"Villa Martín P, Buček A, Bourguignon T, Pigolotti S."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,10.1126/sciadv.aaz9037            ,2375-2548                        ,Sci Adv                                 ,                 ,                           ,                        ,Ocean currents promote rare species diversity in protists.                                                                                                                                                                     ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2832617e+07        ,eaaz9037             ,                    1698 ,                       1 ,6                                                      ,32832617 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32832617 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32832617/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32832617/studies ,publications
"Penev PI, Fakhretaha-Aval S, Patel VJ, Cannone JJ, Gutell RR, Petrov AS, Williams LD, Glass JB."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,10.1093/gbe/evaa170               ,1759-6653                        ,Genome Biol Evol                        ,                 ,                           ,                        ,Supersized Ribosomal RNA Expansion Segments in Asgard Archaea.                                                                                                                                                                 ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2785681e+07        ,1694-1710            ,                      58 ,                       1 ,12                                                     ,32785681 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32785681 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32785681/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32785681/studies ,publications
"Volant S, Lechat P, Woringer P, Motreff L, Campagne P, Malabat C, Kennedy S, Ghozlane A."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,10.1186/s12859-020-03666-4        ,1471-2105                        ,BMC Bioinformatics                      ,                 ,                           ,                        ,SHAMAN: a user-friendly website for metataxonomic analysis from raw reads to statistical analysis.                                                                                                                             ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2778056e+07        ,345                  ,                      12 ,                       1 ,21                                                     ,32778056 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32778056 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32778056/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32778056/studies ,publications
"Zhou J, Wang L, Yuan R, Yu X, Chen Z, Yang F, Sun G, Dong Q."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,10.2147/cmar.s251021              ,1179-1322                        ,Cancer Manag Res                        ,                 ,                           ,                        ,Signatures of Mucosal Microbiome in Oral Squamous Cell Carcinoma Identified Using a Random Forest Model.                                                                                                                       ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2753953e+07        ,5353-5363            ,                      80 ,                       1 ,12                                                     ,32753953 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753953 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753953/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753953/studies ,publications
"Petit RA, Read TD."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,10.1128/msystems.00190-20         ,2379-5077                        ,mSystems                                ,                 ,                           ,                        ,Bactopia: a Flexible Pipeline for Complete Analysis of Bacterial Genomes.                                                                                                                                                      ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2753501e+07        ,n/a                  ,                       3 ,                       1 ,5                                                      ,32753501 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753501 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753501/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753501/studies ,publications
"Kim JY, Whon TW, Lim MY, Kim YB, Kim N, Kwon MS, Kim J, Lee SH, Choi HJ, Nam IH, Chung WH, Kim JH, Bae JW, Roh SW, Nam YD."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1186/s40168-020-00894-x        ,2049-2618                        ,Microbiome                              ,                 ,                           ,                        ,The human gut archaeome: identification of diverse haloarchaea in Korean subjects.                                                                                                                                             ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.275305e+07         ,114                  ,                    3290 ,                       3 ,8                                                      ,32753050 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753050 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753050/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32753050/studies ,publications
"Duarte CM, Ngugi DK, Alam I, Pearman J, Kamau A, Eguiluz VM, Gojobori T, Acinas SG, Gasol JM, Bajic V, Irigoien X."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,10.1111/1462-2920.15182           ,1462-2912; 1462-2920;            ,Environ Microbiol                       ,                 ,                           ,                        ,Sequencing effort dictates gene discovery in marine microbial metagenomes.                                                                                                                                                     ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.274386e+07         ,4589-4603            ,                      45 ,                       1 ,22                                                     ,32743860 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32743860 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32743860/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32743860/studies ,publications
"Di Paola M, Rizzetto L, Stefanini I, Vitali F, Massi-Benedetti C, Tocci N, Romani L, Ramazzotti M, Lionetti P, De Filippo C, Cavalieri D."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1016/j.jtauto.2020.100036      ,2589-9090                        ,J Transl Autoimmun                      ,                 ,                           ,                        ,Comparative immunophenotyping of <i>Saccharomyces cerevisiae</i> and <i>Candida</i> spp. strains from Crohn's disease patients and their interactions with the gut microbiome.                                                 ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.274352e+07         ,100036               ,                       9 ,                       1 ,3                                                      ,32743520 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32743520 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32743520/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32743520/studies ,publications
"Wang L, Xin Y, Zhou J, Tian Z, Liu C, Yu X, Meng X, Jiang W, Zhao S, Dong Q."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,10.3389/fmicb.2020.01548          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,Gastric Mucosa-Associated Microbial Signatures of Early Gastric Cancer.                                                                                                                                                        ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2733423e+07        ,1548                 ,                     120 ,                       1 ,11                                                     ,32733423 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32733423 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32733423/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32733423/studies ,publications
"Chessa D, Murgia M, Sias E, Deligios M, Mazzarello V, Fiamma M, Rovina D, Carenti G, Ganau G, Pintore E, Fiori M, Kay GL, Ponzeletti A, Cappuccinelli P, Kelvin DJ, Wain J, Rubino S."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,10.1038/s41598-020-69497-8        ,2045-2322                        ,Sci Rep                                 ,                 ,                           ,                        ,Metagenomics and microscope revealed T. trichiura and other intestinal parasites in a cesspit of an Italian nineteenth century aristocratic palace.                                                                            ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2728085e+07        ,12656                ,                       2 ,                       1 ,10                                                     ,32728085 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32728085 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32728085/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32728085/studies ,publications
"Vendl C, Slavich E, Wemheuer B, Nelson T, Ferrari B, Thomas T, Rogers T."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,10.1038/s41598-020-69602-x        ,2045-2322                        ,Sci Rep                                 ,                 ,                           ,                        ,Respiratory microbiota of humpback whales may be reduced in diversity and richness the longer they fast.                                                                                                                       ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2724137e+07        ,12645                ,                    4934 ,                       1 ,10                                                     ,32724137 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32724137 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32724137/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32724137/studies ,publications
"Lloyd KG, Bird JT, Buongiorno J, Deas E, Kevorkian R, Noordhoek T, Rosalsky J, Roy T."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,10.1128/aem.00877-20              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,Evidence for a Growth Zone for Deep-Subsurface Microbial Clades in Near-Surface Anoxic Sediments.                                                                                                                              ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2709727e+07        ,n/a                  ,                       3 ,                       1 ,86                                                     ,32709727 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32709727 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32709727/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32709727/studies ,publications
"Belisle BS, Avila Paz AA, Carpenter AR, Cormier TC, Lewis AJ, Menin LS, Oliveira DR, Song B, Szeto A, Tchantouridze EI, Watson KA, Yohannes MT, Ahlgren NA."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,10.1128/mra.00481-20              ,2576-098x                        ,Microbiol Resour Announc                ,                 ,                           ,                        ,Genome Sequences of <i>Synechococcus</i> sp. Strain MIT S9220 and Cocultured Cyanophage SynMITS9220M01.                                                                                                                        ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.270383e+07         ,n/a                  ,                       0 ,                       1 ,9                                                      ,32703830 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32703830 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32703830/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32703830/studies ,publications
"Slizovskiy IB, Mukherjee K, Dean CJ, Boucher C, Noyes NR."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.3389/fmicb.2020.01376          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,Mobilization of Antibiotic Resistance: Are Current Approaches for Colocalizing Resistomes and Mobilomes Useful?                                                                                                                ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2695079e+07        ,1376                 ,                      55 ,                       1 ,11                                                     ,32695079 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32695079 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32695079/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32695079/studies ,publications
"Thurber AR, Seabrook S, Welsh RM."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.1098/rspb.2020.1134            ,0962-8452; 1471-2954;            ,Proc Biol Sci                           ,                 ,                           ,                        ,Riddles in the cold: Antarctic endemism and microbial succession impact methane cycling in the Southern Ocean.                                                                                                                 ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2693727e+07        ,20201134             ,                     186 ,                       1 ,287                                                    ,32693727 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32693727 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32693727/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32693727/studies ,publications
"Větrovský T, Morais D, Kohout P, Lepinay C, Algora C, Awokunle Hollá S, Bahnmann BD, Bílohnědá K, Brabcová V, D'Alò F, Human ZR, Jomura M, Kolařík M, Kvasničková J, Lladó S, López-Mondéjar R, Martinović T, Mašínová T, Meszárošová L, Michalčíková L, Michalová T, Mundra S, Navrátilová D, Odriozola I, Piché-Choquette S, Štursová M, Švec K, Tláskal V, Urbanová M, Vlk L, Voříšková J, Žifčáková L, Baldrian P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,10.1038/s41597-020-0567-7         ,2052-4463                        ,Sci Data                                ,                 ,                           ,                        ,"GlobalFungi, a global database of fungal occurrences from high-throughput-sequencing metabarcoding studies."                                                                                                                  ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2661237e+07        ,228                  ,                    2386 ,                      16 ,7                                                      ,32661237 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32661237 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32661237/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32661237/studies ,publications
"Yang F, Sun J, Luo H, Ren H, Zhou H, Lin Y, Han M, Chen B, Liao H, Brix S, Li J, Yang H, Kristiansen K, Zhong H."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,10.1093/gigascience/giaa071       ,2047-217x                        ,Gigascience                             ,                 ,                           ,                        ,Assessment of fecal DNA extraction protocols for metagenomic studies.                                                                                                                                                          ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2657325e+07        ,n/a                  ,                     289 ,                       1 ,9                                                      ,32657325 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32657325 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32657325/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32657325/studies ,publications
"Perez MF, Kurth D, Farías ME, Soria MN, Castillo Villamizar GA, Poehlein A, Daniel R, Dib JR."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,10.3389/fmicb.2020.01343          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,First Report on the Plasmidome From a High-Altitude Lake of the Andean Puna.                                                                                                                                                   ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.265553e+07         ,1343                 ,                       4 ,                       2 ,11                                                     ,32655530 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32655530 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32655530/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32655530/studies ,publications
"Willms IM, Rudolph AY, Göschel I, Bolz SH, Schneider D, Penone C, Poehlein A, Schöning I, Nacke H."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,10.1128/msphere.00186-20          ,2379-5042                        ,mSphere                                 ,                 ,                           ,                        ,"Globally Abundant ""<i>Candidatus</i> Udaeobacter"" Benefits from Release of Antibiotics in Soil and Potentially Performs Trace Gas Scavenging."                                                                              ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2641424e+07        ,n/a                  ,                       1 ,                       1 ,5                                                      ,32641424 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32641424 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32641424/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32641424/studies ,publications
"Brown CT, Moritz D, O'Brien MP, Reidl F, Reiter T, Sullivan BD."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,10.1186/s13059-020-02066-4        ,1474-7596; 1474-760x;            ,Genome Biol                             ,                 ,                           ,                        ,Exploring neighborhoods in large metagenome assembly graphs using spacegraphcats reveals hidden sequence diversity.                                                                                                            ,journal article                                                                                                                                                          ,                                                                           ,                     2020 ,                             ,3.2631445e+07        ,164                  ,                      43 ,                       1 ,21                                                     ,32631445 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32631445 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32631445/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/32631445/studies ,publications
