accession,sample-name,geo-loc-name,studies,biome
ERS006546,bgi-O2.UC-1,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006547,bgi-MH0040,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006549,bgi-MH0065,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006550,bgi-MH0055,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006551,bgi-MH0054,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006553,bgi-MH0002,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006554,bgi-MH0070,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006555,bgi-MH0082,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006556,bgi-MH0036,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006557,bgi-MH0016,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006559,bgi-V1.CD-13,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006561,bgi-MH0069,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006562,bgi-MH0060,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006563,bgi-O2.UC-11,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006564,bgi-MH0058,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006565,bgi-MH0057,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006566,bgi-V1.CD-11,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006567,bgi-O2.UC-12,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006568,bgi-MH0033,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006569,bgi-MH0076,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006571,bgi-MH0026,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006572,bgi-V1.CD-12,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006573,bgi-MH0079,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006574,bgi-V1.CD-14,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006575,bgi-V1.UC-6,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006576,bgi-O2.UC-24,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006577,bgi-V1.UC-10,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006578,bgi-MH0051,Denmark,"MGYS00000467,MGYS00002007",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006579,bgi-MH0050,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006580,bgi-MH0039,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006581,bgi-MH0059,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006582,bgi-O2.UC-20,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006583,bgi-V1.CD-15,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006584,bgi-MH0080,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006585,bgi-MH0024,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006586,bgi-MH0003,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006587,bgi-V1.UC-18,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006588,bgi-MH0063,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006590,bgi-MH0071,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006591,bgi-O2.UC-17,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006592,bgi-MH0047,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006593,bgi-MH0086,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006594,bgi-V1.UC-8,22,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006595,bgi-V1.CD-6,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006597,bgi-MH0020,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006598,bgi-V1.UC-17,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006599,bgi-V1.CD-4,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006602,bgi-V1.CD-8,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006603,bgi-V1.CD-1,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006604,bgi-MH0037,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006605,bgi-O2.UC-22,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006606,bgi-V1.UC-14,Spain,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006607,bgi-MH0043,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS006608,bgi-MH0041,Denmark,MGYS00000467,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075404,Breast fed 3 month old baby 8,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075405,Breast fed 3 month old baby 10,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075406,Breast fed 3 month old baby 16,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075407,Breast fed 3 month old baby 3,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075408,Breast fed 3 month old baby 4,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075409,Breast fed 3 month old baby 6,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075410,Formula fed 3 month old baby 2,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075411,Formula fed 3 month old baby 3,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075412,Formula fed 3 month old baby 5,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075413,Formula fed 3 month old baby 7,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075414,Formula fed 3 month old baby 13,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS075415,Formula fed 3 month old baby 15,USA,MGYS00000294,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069637,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069638,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069639,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069640,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069641,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069642,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069643,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069644,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069645,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069646,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069647,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069648,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069649,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069650,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069651,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069652,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069653,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069654,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069655,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069656,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069657,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069658,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069659,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069660,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069661,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069662,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069663,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069664,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069665,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069666,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069667,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069668,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069669,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069670,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
