accession,sample-name,geo-loc-name,studies,biome
ERS2653038,Sample_P3J7-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653039,Sample_P3J7-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653040,Sample_P4J0-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653041,Sample_P4J0-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653042,Sample_P4J0-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653043,Sample_P4J0-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653044,Sample_P4J7-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653045,Sample_P4J7-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653046,Sample_P4J7-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653047,Sample_P4J7-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653048,Sample_P5J0-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653049,Sample_P5J0-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653050,Sample_P5J0-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653051,Sample_P5J0-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653052,Sample_P5J7-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653053,Sample_P5J7-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653054,Sample_P5J7-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653055,Sample_P5J7-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653056,Sample_P6J0-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653057,Sample_P6J0-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653058,Sample_P6J0-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653059,Sample_P6J0-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653060,Sample_P6J7-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653061,Sample_P6J7-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653062,Sample_P6J7-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653063,Sample_P6J7-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653064,Sample_P7J0-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653065,Sample_P7J0-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653066,Sample_P7J0-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653067,Sample_P7J0-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653068,Sample_P7J7-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653069,Sample_P7J7-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653070,Sample_P7J7-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653071,Sample_P7J7-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653072,Sample_P8J0-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653073,Sample_P8J0-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653074,Sample_P8J0-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653075,Sample_P8J0-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653076,Sample_P8J7-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653077,Sample_P8J7-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653078,Sample_P8J7-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653079,Sample_P8J7-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653080,Sample_P9J0-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653081,Sample_P9J0-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653082,Sample_P9J0-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653083,Sample_P9J0-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653084,Sample_P9J7-FOX-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653085,Sample_P9J7-FOX-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653086,Sample_P9J7-MEB-ANA,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2653087,Sample_P9J7-MEB-CO2,Canada,MGYS00002961,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750675,100_OHC_263_BL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750676,107_OHF_303_BL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750677,128_OHC_263_FL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750678,130_OHF_303_FL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750679,142_OHC_107_BL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750680,160_OHC_107_FL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750681,182_OHF_473_BL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750682,183_OHF_723_BL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750683,190_OHC_159_BL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750685,220_OHC_159_FL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2750686,222_OHF_723_FL,Australia,MGYS00003143,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867710,ERR2640694,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867711,ERR2640698,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867712,ERR2640690,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867713,ERR2640686,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867714,ERR2640706,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867715,ERR2640684,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867716,ERR2640688,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867717,ERR2640704,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867718,ERR2640685,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867720,ERR2640705,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867721,ERR2640702,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867722,ERR2640703,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867723,ERR2640693,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867724,ERR2640683,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867725,ERR2640691,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867727,ERR2640695,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867728,ERR2640696,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867729,ERR2640697,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867730,ERR2031964,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867732,ERR2684377,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867733,ERR26484378,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867734,ERR2631573,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867735,ERR2624824,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867736,ERR2624825,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867737,XT_1216,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867738,XT_1217,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2867739,XT_1218,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2876672,ERR2640692,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS2876673,EQA_wetlab,,MGYS00003484,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885207,GCE0001-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885208,GCE0002-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885209,GCE0003-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885210,GCE0004-NCS-ST-0247,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885211,GCE0005-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885212,GCE0006-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885213,GCE0007-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885214,GCE0008-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885215,GCE0009-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885216,GCE0010-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885217,GCE0011-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885218,GCE0012-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885219,GCE0013-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885220,GCE0014-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885221,GCE0015-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885222,GCE0016-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885223,GCE0017-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885224,GCE0018-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885225,GCE0019-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885226,GCE0020-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885227,GCE0021-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885228,GCE0022-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885229,GCE0023-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885230,GCE0024-NCS-ST-0106,Cambodia,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885231,GCE0025-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885232,GCE0026-NCS-ST-0106,Cambodia,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885233,GCE0027-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885234,GCE0028-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885235,GCE0029-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885236,GCE0030-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885237,GCE0031-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885238,GCE0032-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885239,GCE0033-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885240,GCE0034-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885241,GCE0035-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885242,GCE0036-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885243,GCE0037-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885244,GCE0038-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885245,GCE0039-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885246,GCE0040-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885247,GCE0041-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885248,GCE0042-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885249,GCE0043-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885250,GCE0044-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885251,GCE0045-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885252,GCE0046-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885253,GCE0047-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885254,GCE0048-NCS-ST-0003,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885255,GCE0049-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885256,GCE0050-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885257,GCE0051-NCS-ST-0009,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885258,GCE0052-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885259,GCE0053-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885260,GCE0054-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885261,GCE0055-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885262,GCE0056-NCS-ST-0233,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885263,GCE0057-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885264,GCE0058-NCS-ST-0009,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885265,GCE0059-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885266,GCE0060-NCS-ST-0133,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885267,GCE0061-NCS-ST-0009,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885268,GCE0062-NCS-ST-0009,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885269,GCE0063-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885270,GCE0064-NCS-ST-0009,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885271,GCE0065-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885272,GCE0066-NCS-ST-0009,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885273,GCE0067-NCS-ST-0114,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885274,GCE0068-NCS-ST-0009,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885275,GCE0069-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885276,GCE0070-NCS-ST-0233,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885277,GCE0071-NCS-ST-0233,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885278,GCE0072-NCS-ST-0233,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885279,GCE0073-NCS-ST-0233,Cambodia,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885280,GCE0074-NCS-ST-0009,Cambodia,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885281,GCE0075-NCS-ST-0233,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885282,GCE0076-NCS-ST-0233,Cambodia,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885283,GCE0077-NCS-ST-0217,Cambodia,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885284,GCE0078-NCS-ST-0233,Cambodia,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885285,GCE0079-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885286,GCE0080-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885287,GCE0081-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885288,GCE0082-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885289,GCE0083-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885290,GCE0084-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885291,GCE0085-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885292,GCE0086-NCS-ST-0217,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885293,GCE0087-NCS-ST-0217,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885294,GCE0088-NCS-ST-0217,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885295,GCE0089-NCS-ST-0217,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885296,GCE0090-NCS-ST-0217,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885297,GCE0091-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885298,GCE0092-NCS-ST-0217,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885299,GCE0093-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885300,GCE0094-NCS-ST-0210,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885301,GCE0095-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885302,GCE0096-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885303,GCE0097-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885304,GCE0098-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885305,GCE0099-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885306,GCE0100-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885307,GCE0101-NCS-ST-0217,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885308,GCE0102-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885309,GCE0103-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885310,GCE0104-NCS-ST-0177,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885311,GCE0105-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885312,GCE0106-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885313,GCE0107-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885314,GCE0108-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885315,GCE0109-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885316,GCE0110-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885317,GCE0111-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885318,GCE0112-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885319,GCE0113-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885320,GCE0114-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885321,GCE0115-NCS-ST-0129,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885322,GCE0116-NCS-ST-0242,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885323,GCE0117-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885324,GCE0118-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885325,GCE0119-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885326,GCE0120-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885327,GCE0121-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885328,GCE0122-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885329,GCE0123-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885330,GCE0124-NCS-ST-0170,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885331,GCE0125-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885332,GCE0126-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885333,GCE0127-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885334,GCE0128-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885335,GCE0129-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885336,GCE0130-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885337,GCE0131-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885338,GCE0132-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885339,GCE0133-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885340,GCE0134-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885341,GCE0135-NCS-ST-0409,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885342,GCE0136-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885343,GCE0137-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885344,GCE0138-NCS-ST-0106,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885345,GCE0139-NCS-ST-0012,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885346,GCE0140-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885347,GCE0141-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885348,GCE0142-NCS-ST-0122,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS3885349,GCE0143-NCS-ST-0002,,MGYS00005128,root:Host-associated:Human:Digestive system:Large intestine:Fecal
